job_title,skill,label,justification
Financial Analyst,Data normalization,0,Foundational skill that has persisted for decades across industries.
Cloud Architect,HTTP/HTTPS protocols,0,Foundational skill that has persisted for decades across industries.
Financial Analyst,Contract law fundamentals,0,Foundational skill that has persisted for decades across industries.
Lawyer,Reinforcement Learning,1,Rapidly gaining adoption; a key emerging skill in the market.
Software Engineer,Automated picking robots (control),1,Rapidly gaining adoption; a key emerging skill in the market.
Software Engineer,Data normalization,0,Foundational skill that has persisted for decades across industries.
Cloud Architect,GDPR regulations,0,Foundational skill that has persisted for decades across industries.
Radiology Technician,PyTorch,1,Rapidly gaining adoption; a key emerging skill in the market.
Full Stack Developer,Data normalization,0,Foundational skill that has persisted for decades across industries.
Radiology Technician,Zero Trust architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
Logistics Coordinator,Next.js App Router,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Accountant,Data lake architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
Data Engineer,Salesforce CRM,1,Rapidly gaining adoption; a key emerging skill in the market.
Data Engineer,Microservices architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
UI/UX Designer,Model evaluation metrics,0,Foundational skill that has persisted for decades across industries.
HVAC Technician,MLOps practices,1,Rapidly gaining adoption; a key emerging skill in the market.
Software Engineer,Google Analytics 4,1,Rapidly gaining adoption; a key emerging skill in the market.
Logistics Coordinator,GDPR regulations,0,Foundational skill that has persisted for decades across industries.
Paralegal,Patient triage protocols,0,Foundational skill that has persisted for decades across industries.
Teacher,WordPress page builders (Elementor),2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Frontend Developer,CI/CD pipelines,0,Foundational skill that has persisted for decades across industries.
Construction Manager,Contract law fundamentals,0,Foundational skill that has persisted for decades across industries.
Software Engineer,CI/CD pipelines,0,Foundational skill that has persisted for decades across industries.
Recruiter,Adobe Photoshop,1,Rapidly gaining adoption; a key emerging skill in the market.
Accountant,REST API design,0,Foundational skill that has persisted for decades across industries.
Graphic Designer,Cryptocurrency portfolio strategies,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Art Director,Statistical reasoning,0,Foundational skill that has persisted for decades across industries.
Software Engineer,People analytics (Python/Tableau),1,Rapidly gaining adoption; a key emerging skill in the market.
Systems Administrator,Old JUnit,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Recruiter,Data normalization,0,Foundational skill that has persisted for decades across industries.
Compliance Officer,GAAP principles,0,Foundational skill that has persisted for decades across industries.
Construction Manager,Terraform,1,Rapidly gaining adoption; a key emerging skill in the market.
Financial Analyst,Amazon FBA specific rules,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Data Scientist,Swift,1,Rapidly gaining adoption; a key emerging skill in the market.
Paralegal,Apache Spark,1,Rapidly gaining adoption; a key emerging skill in the market.
Marketing Manager,Test automation principles,0,Foundational skill that has persisted for decades across industries.
DevOps Engineer,SQL,0,Foundational skill that has persisted for decades across industries.
Backend Developer,Data ethics,0,Foundational skill that has persisted for decades across industries.
Financial Analyst,Gradient descent,0,Foundational skill that has persisted for decades across industries.
Software Engineer,Object-Oriented Programming,0,Foundational skill that has persisted for decades across industries.
Accountant,GDPR regulations,0,Foundational skill that has persisted for decades across industries.
SEO Specialist,Service Mesh (Istio),1,Rapidly gaining adoption; a key emerging skill in the market.
Sales Manager,Google Analytics 4,1,Rapidly gaining adoption; a key emerging skill in the market.
Marketing Manager,Object-Oriented Programming,0,Foundational skill that has persisted for decades across industries.
Data Scientist,Flutter,1,Rapidly gaining adoption; a key emerging skill in the market.
AI Researcher,Apache Pig,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Medical Coder,Employee relations law,0,Foundational skill that has persisted for decades across industries.
Healthcare Administrator,Agile methodologies,0,Foundational skill that has persisted for decades across industries.
Healthcare Administrator,GraphQL,1,Rapidly gaining adoption; a key emerging skill in the market.
SEO Specialist,Data lake architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
Teacher,Encryption basics,0,Foundational skill that has persisted for decades across industries.
Data Engineer,Serverless computing,1,Rapidly gaining adoption; a key emerging skill in the market.
Data Scientist,Network security fundamentals,0,Foundational skill that has persisted for decades across industries.
Lawyer,KNIME specific nodes,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Paralegal,System design patterns,0,Foundational skill that has persisted for decades across industries.
Machine Learning Engineer,Kubernetes,1,Rapidly gaining adoption; a key emerging skill in the market.
Registered Nurse,Data normalization,0,Foundational skill that has persisted for decades across industries.
AI Researcher,CI/CD pipelines,0,Foundational skill that has persisted for decades across industries.
Construction Manager,Route optimization software,1,Rapidly gaining adoption; a key emerging skill in the market.
Logistics Coordinator,Cypress,1,Rapidly gaining adoption; a key emerging skill in the market.
Cloud Architect,Statistical reasoning,0,Foundational skill that has persisted for decades across industries.
Plumber,GAAP principles,0,Foundational skill that has persisted for decades across industries.
Healthcare Administrator,Linux administration,0,Foundational skill that has persisted for decades across industries.
Construction Manager,WordPress page builders (Elementor),2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Physician,Network security fundamentals,0,Foundational skill that has persisted for decades across industries.
Art Director,REST API design,0,Foundational skill that has persisted for decades across industries.
Graphic Designer,SvelteKit,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
QA Engineer,Zero Trust architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
Software Engineer,Pipe fitting and soldering,0,Foundational skill that has persisted for decades across industries.
Recruiter,REST API design,0,Foundational skill that has persisted for decades across industries.
SEO Specialist,Excel financial modeling,0,Foundational skill that has persisted for decades across industries.
Backend Developer,System design patterns,0,Foundational skill that has persisted for decades across industries.
Full Stack Developer,Data Structures,0,Foundational skill that has persisted for decades across industries.
Data Engineer,Object-Oriented Programming,0,Foundational skill that has persisted for decades across industries.
DevOps Engineer,Service Mesh (Istio),1,Rapidly gaining adoption; a key emerging skill in the market.
QA Engineer,Test automation principles,0,Foundational skill that has persisted for decades across industries.
Cloud Architect,Amazon FBA specific rules,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Professor,Employee relations law,0,Foundational skill that has persisted for decades across industries.
Art Director,Cordova/PhoneGap,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Cloud Architect,GraphQL,1,Rapidly gaining adoption; a key emerging skill in the market.
Warehouse Operator,National Electrical Code,0,Foundational skill that has persisted for decades across industries.
Radiology Technician,TypeScript,1,Rapidly gaining adoption; a key emerging skill in the market.
DevOps Engineer,TypeScript,1,Rapidly gaining adoption; a key emerging skill in the market.
Machine Learning Engineer,CI/CD pipelines,0,Foundational skill that has persisted for decades across industries.
Teacher,KNIME specific nodes,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
UI/UX Designer,Terraform,1,Rapidly gaining adoption; a key emerging skill in the market.
HVAC Technician,LinkedIn Recruiter platform,1,Rapidly gaining adoption; a key emerging skill in the market.
Healthcare Administrator,CI/CD pipelines,0,Foundational skill that has persisted for decades across industries.
Lawyer,Data lake architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
Physical Therapist,Linux administration,0,Foundational skill that has persisted for decades across industries.
Full Stack Developer,Model evaluation metrics,0,Foundational skill that has persisted for decades across industries.
Construction Manager,National Electrical Code,0,Foundational skill that has persisted for decades across industries.
Investment Banker,Agile methodologies,0,Foundational skill that has persisted for decades across industries.
Marketing Manager,Adobe Photoshop specific filters,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Systems Administrator,Brand Positioning,0,Foundational skill that has persisted for decades across industries.
HR Manager,PyTorch,1,Rapidly gaining adoption; a key emerging skill in the market.
SEO Specialist,Cryptocurrency portfolio strategies,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Compliance Officer,Route optimization software,1,Rapidly gaining adoption; a key emerging skill in the market.
AI Researcher,Westlaw legal database,1,Rapidly gaining adoption; a key emerging skill in the market.
Data Engineer,After Effects expressions,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Cloud Architect,Patient triage protocols,0,Foundational skill that has persisted for decades across industries.
Plumber,Contract law fundamentals,0,Foundational skill that has persisted for decades across industries.
Professor,ABC analysis,0,Foundational skill that has persisted for decades across industries.
Frontend Developer,Cordova/PhoneGap,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Business Analyst,Data normalization,0,Foundational skill that has persisted for decades across industries.
Accountant,Linux administration,0,Foundational skill that has persisted for decades across industries.
Backend Developer,Serverless computing,1,Rapidly gaining adoption; a key emerging skill in the market.
SEO Specialist,Test automation principles,0,Foundational skill that has persisted for decades across industries.
DevOps Engineer,Lean Six Sigma,0,Foundational skill that has persisted for decades across industries.
HVAC Technician,Terraform,1,Rapidly gaining adoption; a key emerging skill in the market.
Investment Banker,E-discovery software (Relativity),1,Rapidly gaining adoption; a key emerging skill in the market.
Lawyer,After Effects expressions,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Digital Marketing Specialist,Gradient descent,0,Foundational skill that has persisted for decades across industries.
Marketing Manager,Gradient descent,0,Foundational skill that has persisted for decades across industries.
Radiology Technician,Terraform,1,Rapidly gaining adoption; a key emerging skill in the market.
Compliance Officer,Employee relations law,0,Foundational skill that has persisted for decades across industries.
HVAC Technician,Telemedicine platforms (Doxy.me),2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
DevOps Engineer,Encryption basics,0,Foundational skill that has persisted for decades across industries.
Financial Analyst,Interstate trucking regulations,0,Foundational skill that has persisted for decades across industries.
UI/UX Designer,Agile methodologies,0,Foundational skill that has persisted for decades across industries.
Data Scientist,Color theory and composition,0,Foundational skill that has persisted for decades across industries.
Digital Marketing Specialist,Epic Systems (EMR),1,Rapidly gaining adoption; a key emerging skill in the market.
Security Analyst,HTTP/HTTPS protocols,0,Foundational skill that has persisted for decades across industries.
Plumber,National Electrical Code,0,Foundational skill that has persisted for decades across industries.
Plumber,React hooks,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Paralegal,Contract law fundamentals,0,Foundational skill that has persisted for decades across industries.
Medical Coder,TikTok trends management,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Backend Developer,Epic Systems (EMR),1,Rapidly gaining adoption; a key emerging skill in the market.
HR Manager,National Electrical Code,0,Foundational skill that has persisted for decades across industries.
Software Engineer,Incoterms,0,Foundational skill that has persisted for decades across industries.
Graphic Designer,Object-Oriented Programming,0,Foundational skill that has persisted for decades across industries.
Business Analyst,Pipe fitting and soldering,0,Foundational skill that has persisted for decades across industries.
Electrician,Docker,1,Rapidly gaining adoption; a key emerging skill in the market.
HVAC Technician,National Electrical Code,0,Foundational skill that has persisted for decades across industries.
Frontend Developer,Flutter,1,Rapidly gaining adoption; a key emerging skill in the market.
Construction Manager,Test automation principles,0,Foundational skill that has persisted for decades across industries.
Radiology Technician,Pipe fitting and soldering,0,Foundational skill that has persisted for decades across industries.
HR Manager,System design patterns,0,Foundational skill that has persisted for decades across industries.
Logistics Coordinator,Network security fundamentals,0,Foundational skill that has persisted for decades across industries.
Business Analyst,Data ethics,0,Foundational skill that has persisted for decades across industries.
Data Engineer,DEI frameworks,1,Rapidly gaining adoption; a key emerging skill in the market.
Teacher,Network security fundamentals,0,Foundational skill that has persisted for decades across industries.
Machine Learning Engineer,RF scanner inventory management,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
HR Manager,Next.js App Router,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Logistics Coordinator,Data ethics,0,Foundational skill that has persisted for decades across industries.
Data Scientist,Route optimization software,1,Rapidly gaining adoption; a key emerging skill in the market.
QA Engineer,Apache Pig,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
QA Engineer,Data normalization,0,Foundational skill that has persisted for decades across industries.
Security Analyst,Data Structures,0,Foundational skill that has persisted for decades across industries.
Art Director,Old JUnit,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Paralegal,KNIME specific nodes,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Business Analyst,HTTP/HTTPS protocols,0,Foundational skill that has persisted for decades across industries.
SEO Specialist,JUnit 4 annotations,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Graphic Designer,Data ethics,0,Foundational skill that has persisted for decades across industries.
UI/UX Designer,Adobe Photoshop specific filters,2,Framework or tool‑specific; volatile and likely to be replaced within a few years.
Frontend Developer,System design patterns,0,Foundational skill that has persisted for decades across industries.
Logistics Coordinator,Service Mesh (Istio),1,Rapidly gaining adoption; a key emerging skill in the market.
QA Engineer,National Electrical Code,0,Foundational skill that has persisted for decades across industries.
Physical Therapist,Serverless computing,1,Rapidly gaining adoption; a key emerging skill in the market.
Plumber,Data Structures,0,Foundational skill that has persisted for decades across industries.
Animator,System design patterns,0,Foundational skill that has persisted for decades across industries.
Security Analyst,Interstate trucking regulations,0,Foundational skill that has persisted for decades across industries.
Supply Chain Manager,Data Structures,0,Foundational skill that has persisted for decades across industries.
Lawyer,Salesforce CRM,1,Rapidly gaining adoption; a key emerging skill in the market.
Backend Developer,Smart thermostat installation,1,Rapidly gaining adoption; a key emerging skill in the market.
Compliance Officer,Data ethics,0,Foundational skill that has persisted for decades across industries.
Art Director,Interstate trucking regulations,0,Foundational skill that has persisted for decades across industries.
Teacher,Agile methodologies,0,Foundational skill that has persisted for decades across industries.
Lawyer,Terraform,1,Rapidly gaining adoption; a key emerging skill in the market.
HVAC Technician,Data ethics,0,Foundational skill that has persisted for decades across industries.
Digital Marketing Specialist,HTTP/HTTPS protocols,0,Foundational skill that has persisted for decades across industries.
Compliance Officer,Zero Trust architecture,1,Rapidly gaining adoption; a key emerging skill in the market.
